# Xbs Ybs THbs Xgl Ygl THgl Xlc Ylc THlc time
0.783629 0.542820 20.508207  -0.320793 0.957265 3.502993  -0.215722 0.351460 -7.278531  1445405523.548249
0.782071 0.559214 20.523786  -0.336157 0.951335 3.518572  -0.206664 0.337707 -7.262952  1445405523.598689
0.780427 0.574116 20.537841  -0.350061 0.945727 3.532627  -0.198231 0.325311 -7.248897  1445405523.649192
0.778578 0.589002 20.551444  -0.363894 0.939926 3.546230  -0.189623 0.313026 -7.235294  1445405523.699491
0.776527 0.603853 20.565160  -0.377639 0.933939 3.559946  -0.180854 0.300867 -7.221578  1445405523.749732
0.774275 0.618666 20.578820  -0.391293 0.927768 3.573606  -0.171923 0.288835 -7.207918  1445405523.800014
0.771819 0.633448 20.592592  -0.404861 0.921411 3.587378  -0.162829 0.276927 -7.194146  1445405523.850284
0.769158 0.648198 20.606562  -0.418344 0.914864 3.601348  -0.153568 0.265142 -7.180175  1445405523.900593
0.766293 0.662905 20.620448  -0.431730 0.908132 3.615234  -0.144145 0.253492 -7.166290  1445405523.950901
0.763221 0.677587 20.634220  -0.445037 0.901208 3.629006  -0.134553 0.241959 -7.152517  1445405524.001121
0.759948 0.692222 20.647908  -0.458244 0.894103 3.642694  -0.124805 0.230564 -7.138830  1445405524.051400
0.756471 0.706826 20.661652  -0.471365 0.886810 3.656439  -0.114891 0.219290 -7.125085  1445405524.101681
0.752800 0.721350 20.675509  -0.484357 0.879353 3.670296  -0.104844 0.208179 -7.111228  1445405524.151965
0.748934 0.735809 20.689395  -0.497234 0.871724 3.684181  -0.094654 0.197216 -7.097343  1445405524.202448
0.744866 0.750222 20.703167  -0.511273 0.863129 3.699365  -0.083274 0.185324 -7.082159  1445405524.252924
0.740167 0.765967 20.719170  -0.523903 0.855136 3.713956  -0.072780 0.174680 -7.067568  1445405524.303425
0.735667 0.780263 20.732745  -0.536452 0.846941 3.727531  -0.062106 0.164158 -7.053993  1445405524.353960
0.730967 0.794513 20.746432  -0.548902 0.838567 3.741219  -0.051278 0.153771 -7.040305  1445405524.404496
0.726072 0.808696 20.760290  -0.561235 0.830022 3.755076  -0.040308 0.143534 -7.026448  1445405524.454954
0.720986 0.822799 20.774175  -0.573440 0.821315 3.768961  -0.029208 0.133458 -7.012563  1445405524.505435
0.715708 0.836818 20.788089  -0.585512 0.812446 3.782875  -0.017977 0.123545 -6.998649  1445405524.555924
0.710238 0.850755 20.802172  -0.597453 0.803414 3.796958  -0.006615 0.113795 -6.984566  1445405524.606368
0.704568 0.864620 20.816255  -0.609271 0.794210 3.811041  0.004890 0.104202 -6.970483  1445405524.656787
0.698700 0.878416 20.830309  -0.622129 0.783887 3.826479  0.017708 0.093830 -6.955045  1445405524.707052
0.692021 0.893496 20.845719  -0.633683 0.774328 3.840505  0.029504 0.084570 -6.941019  1445405524.757472
0.685752 0.907105 20.859717  -0.645093 0.764615 3.854503  0.041418 0.075484 -6.927020  1445405524.807948
0.679284 0.920640 20.873828  -0.656377 0.754732 3.868615  0.053473 0.066557 -6.912909  1445405524.858370
0.672628 0.934073 20.888109  -0.667513 0.744695 3.882895  0.065647 0.057807 -6.898629  1445405524.908778
0.665773 0.947430 20.902531  -0.678521 0.734486 3.897317  0.077960 0.049219 -6.884207  1445405524.959225
0.658740 0.960646 20.917404  -0.689347 0.724144 3.912190  0.090366 0.040837 -6.869334  1445405525.009454
0.651505 0.973786 20.931402  -0.700043 0.713628 3.926188  0.102914 0.032619 -6.855336  1445405525.059760
0.644089 0.986816 20.945457  -0.710585 0.702968 3.940243  0.115570 0.024582 -6.841281  1445405525.110042
0.636507 0.999711 20.959624  -0.720953 0.692184 3.954411  0.128310 0.016741 -6.827113  1445405525.160500
0.628731 1.012515 20.973877  -0.731180 0.681239 3.968663  0.141178 0.009073 -6.812861  1445405525.210914
0.620771 1.025210 20.988214  -0.741252 0.670146 3.983000  0.154158 0.001587 -6.798524  1445405525.261474
0.611797 1.039052 21.004103  -0.752156 0.657766 3.998889  0.168572 -0.006438 -6.782635  1445405525.311974
0.603464 1.051485 21.019061  -0.761875 0.646383 4.013847  0.181759 -0.013518 -6.767677  1445405525.362330
0.594932 1.063818 21.033483  -0.771444 0.634837 4.028269  0.195074 -0.020416 -6.753255  1445405525.412611
0.586229 1.076020 21.047848  -0.780842 0.623161 4.042634  0.208480 -0.027119 -6.738890  1445405525.462893
0.577355 1.088089 21.062326  -0.790065 0.611357 4.057112  0.221974 -0.033624 -6.724412  1445405525.513155
0.568311 1.100025 21.076889  -0.799113 0.599424 4.071675  0.235556 -0.039932 -6.709849  1445405525.563387
0.559086 1.111838 21.091310  -0.807995 0.587352 4.086097  0.249240 -0.046046 -6.695427  1445405525.613581
0.549684 1.123521 21.106127  -0.816704 0.575143 4.100913  0.263020 -0.051963 -6.680611  1445405525.663773
0.540118 1.135054 21.120803  -0.825224 0.562817 4.115589  0.276874 -0.057670 -6.665935  1445405525.713963
0.530385 1.146446 21.135422  -0.833563 0.550369 4.130208  0.290810 -0.063175 -6.651316  1445405525.764247
0.520463 1.157723 21.150069  -0.841740 0.537768 4.144856  0.304860 -0.068489 -6.636668  1445405525.814522
0.510393 1.168835 21.164660  -0.849719 0.525071 4.159447  0.318962 -0.073588 -6.622077  1445405525.864841
0.500172 1.179786 21.179308  -0.857502 0.512272 4.174094  0.333123 -0.078475 -6.607430  1445405525.915124
0.489768 1.190609 21.194181  -0.865112 0.499331 4.188967  0.347385 -0.083162 -6.592557  1445405525.965699
0.478179 1.202298 21.210550  -0.873235 0.485015 4.205336  0.363100 -0.088059 -6.576188  1445405526.015949
0.467484 1.212746 21.225959  -0.880406 0.471896 4.220746  0.377443 -0.092279 -6.560778  1445405526.066208
0.456610 1.223054 21.240409  -0.887393 0.458641 4.235195  0.391879 -0.096291 -6.546328  1445405526.116486
0.445581 1.233209 21.255028  -0.894191 0.445278 4.249815  0.406381 -0.100096 -6.531709  1445405526.166845
0.434398 1.243207 21.269817  -0.900796 0.431810 4.264603  0.420944 -0.103689 -6.516921  1445405526.217123
0.423087 1.253022 21.284605  -0.907190 0.418269 4.279392  0.435535 -0.107061 -6.502132  1445405526.267570
0.411623 1.262677 21.299366  -0.913389 0.404623 4.294152  0.450187 -0.110220 -6.487372  1445405526.317992
0.400038 1.272141 21.314324  -0.919372 0.390912 4.309110  0.464856 -0.113153 -6.472414  1445405526.368416
0.388294 1.281446 21.329225  -0.925159 0.377091 4.324011  0.479591 -0.115872 -6.457512  1445405526.418655
0.376400 1.290586 21.344183  -0.930746 0.363170 4.338969  0.494381 -0.118375 -6.442555  1445405526.468885
0.364388 1.299536 21.359113  -0.936118 0.349186 4.353899  0.509186 -0.120654 -6.427625  1445405526.519146
0.352240 1.308308 21.373845  -0.941282 0.335120 4.368631  0.524028 -0.122712 -6.412893  1445405526.569421
0.339963 1.316898 21.388803  -0.946236 0.320979 4.383589  0.538899 -0.124550 -6.397935  1445405526.619680
0.327532 1.325323 21.403817  -0.951448 0.305319 4.400155  0.555309 -0.126316 -6.381368  1445405526.670110
0.313738 1.334357 21.420383  -0.955961 0.291013 4.415170  0.570247 -0.127687 -6.366354  1445405526.720540
0.301082 1.342354 21.436103  -0.960242 0.276667 4.430890  0.585175 -0.128823 -6.350634  1445405526.771010
0.288288 1.350170 21.450779  -0.964311 0.262237 4.445565  0.600139 -0.129734 -6.335959  1445405526.821469
0.275374 1.357802 21.465511  -0.968170 0.247742 4.460297  0.615124 -0.130426 -6.321226  1445405526.872002
0.262381 1.365223 21.480384  -0.971805 0.233227 4.475171  0.630080 -0.130894 -6.306353  1445405526.922400
0.249246 1.372467 21.495286  -0.975231 0.218623 4.490072  0.645078 -0.131141 -6.291452  1445405526.972871
0.236018 1.379505 21.510300  -0.978435 0.203986 4.505086  0.660062 -0.131162 -6.276438  1445405527.023336
0.222679 1.386349 21.525314  -0.981420 0.189294 4.520101  0.675053 -0.130958 -6.261423  1445405527.073785
0.209268 1.392976 21.540554  -0.984178 0.174591 4.535341  0.690006 -0.130530 -6.246183  1445405527.124303
0.194352 1.400052 21.557262  -0.986961 0.158318 4.552048  0.706499 -0.129793 -6.229475  1445405527.174754
0.180718 1.406259 21.572135  -0.989255 0.143515 4.566922  0.721451 -0.128890 -6.214602  1445405527.225198
0.166991 1.412264 21.586980  -0.991328 0.128675 4.581767  0.736393 -0.127763 -6.199757  1445405527.275642
0.153170 1.418065 21.602023  -0.993180 0.113802 4.596809  0.751320 -0.126413 -6.184715  1445405527.326166
0.139253 1.423662 21.617037  -0.994809 0.098890 4.611824  0.766237 -0.124838 -6.169700  1445405527.376703
0.125277 1.429039 21.632277  -0.996210 0.083980 4.627064  0.781104 -0.123040 -6.154460  1445405527.427176
0.111219 1.434202 21.647574  -0.997384 0.069051 4.642360  0.795942 -0.121015 -6.139164  1445405527.477644
0.097077 1.439155 21.662532  -0.998333 0.054097 4.657318  0.810757 -0.118766 -6.124206  1445405527.528006
0.082856 1.443900 21.677433  -0.999059 0.039123 4.672219  0.825544 -0.116295 -6.109304  1445405527.578562
0.068526 1.448443 21.692335  -0.999562 0.024098 4.687121  0.840332 -0.113595 -6.094403  1445405527.628800
0.054149 1.452765 21.707321  -0.999839 0.009088 4.702107  0.856553 -0.110369 -6.077836  1445405527.679127
0.038333 1.457250 21.723887  -0.999885 -0.007352 4.718674  0.871133 -0.107230 -6.062850  1445405527.729549
0.023854 1.461109 21.739071  -0.999689 -0.022334 4.733857  0.885732 -0.103856 -6.047667  1445405527.780065
0.009343 1.464740 21.754763  -0.999265 -0.037288 4.749549  0.900254 -0.100265 -6.031975  1445405527.830595
-0.005251 1.468154 21.769523  -0.998609 -0.052261 4.764309  0.914746 -0.096444 -6.017215  1445405527.881070
-0.019906 1.471354 21.784311  -0.997731 -0.067236 4.779098  0.929192 -0.092405 -6.002426  1445405527.931571
-0.034583 1.474330 21.799326  -0.996632 -0.082171 4.794112  0.943553 -0.088158 -5.987412  1445405527.982047
-0.049315 1.477089 21.814255  -0.995308 -0.097100 4.809042  0.957861 -0.083694 -5.972482  1445405528.032450
-0.064091 1.479628 21.829213  -0.993761 -0.112012 4.824000  0.972104 -0.079014 -5.957524  1445405528.083002
-0.078887 1.481941 21.844397  -0.991991 -0.126883 4.839183  0.987682 -0.073621 -5.940873  1445405528.133486
-0.095208 1.484228 21.860907  -0.989784 -0.143215 4.855693  1.001750 -0.068500 -5.925831  1445405528.183718
-0.110082 1.486074 21.875893  -0.987543 -0.158035 4.870679  1.015755 -0.063162 -5.910844  1445405528.234122
-0.124982 1.487698 21.890766  -0.985082 -0.172819 4.885553  1.029680 -0.057616 -5.895971  1445405528.284403
-0.139904 1.489099 21.905696  -0.982399 -0.187565 4.900482  1.043519 -0.051862 -5.881042  1445405528.334904
-0.154850 1.490275 21.920767  -0.979494 -0.202273 4.915553  1.057274 -0.045900 -5.865971  1445405528.385371
-0.169799 1.491227 21.935922  -0.976372 -0.216924 4.930708  1.070928 -0.039737 -5.850815  1445405528.435644
-0.184761 1.491954 21.950908  -0.973030 -0.231526 4.945695  1.084486 -0.033369 -5.835829  1445405528.485864
-0.199712 1.492448 21.966826  -0.969467 -0.246055 4.961612  1.097927 -0.026801 -5.819912  1445405528.536154
-0.214723 1.492713 21.981586  -0.965666 -0.260578 4.976372  1.111312 -0.020002 -5.805152  1445405528.586387
-0.229743 1.492756 21.996346  -0.961650 -0.275052 4.991133  1.124602 -0.013003 -5.790391  1445405528.636856
-0.244734 1.492577 22.011304  -0.957428 -0.289438 5.006091  1.137762 -0.005822 -5.775433  1445405528.687142
-0.259737 1.492173 22.026149  -0.952987 -0.303774 5.020936  1.150828 0.001564 -5.760588  1445405528.737433
-0.274708 1.491546 22.041164  -0.947864 -0.319434 5.037530  1.165042 0.009896 -5.743994  1445405528.787699
-0.291141 1.490599 22.057702  -0.942987 -0.333584 5.052488  1.177834 0.017668 -5.729036  1445405528.837964
